Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
1382639460,195.72,195.72,195.72,195.72,0.99497151,194.7358239,195.72
1382639520,197.03,197.36,195.71,197.36,1.68949238,331.650628,196.3019378
1382639580,197.35,197.35,195.73,195.73,0.23423803,45.87725816,195.8574283
1382639640,197.36,197.36,195.71,195.71,1.22523404,239.8209553,195.7348127
1382639700,195.71,195.71,195.71,195.71,5.350642,1047.174146,195.71
1382639760,196,197.33,196,197.33,4.09127,802.0848104,196.0478801
1382639820,195.7,197,195.7,197,0.62436139,122.7185264,196.5504728
1382639880,195.7,195.7,195.64,195.64,1.14910673,224.8482868,195.6722391
1382639940,195.73,196.99,195.73,196.99,1.31798939,258.1100775,195.8362332
1382640060,195.73,195.73,195.73,195.73,0.99101401,193.9711722,195.73
1382640120,195.73,195.73,195.7,195.7,20.055849,3924.964962,195.7017607
1382640240,195.85,195.85,195.85,195.85,1.14371301,223.996193,195.85
1382640300,195.85,195.85,195.85,195.85,0.215963,42.29635355,195.85
1382640360,195.85,195.85,195.7,195.7,8.33333,1630.966368,195.7160424
1382640420,195.64,195.64,195.64,195.64,0.215879,42.23456756,195.64
1382640480,195.64,195.64,195.5,195.5,14.987635,2931.346849,195.58435
1382640540,195.72,196,195.72,196,9.54187801,1870.147646,195.9936654
1382640600,195.5,196,195.5,196,16.41278586,3209.037301,195.5205733
1382640660,196,196,196,196,0.11875288,23.27556448,196
1382640720,195.5,195.9,195.5,195.9,13,2544.7,195.7461539
1382640780,195.5,195.99,195.5,195.99,3.69531401,723.7988486,195.8693758
1382640840,196,196,196,196,18.525459,3630.989964,196
1382640900,195.5,196,195.44,195.44,19.82455,3876.142467,195.5223431
1382640960,195.44,195.44,195.43,195.43,1.216211,237.6869545,195.4323341
1382641020,195.6,195.6,195.6,195.6,0.2409637,47.13249972,195.6
1382641140,195.99,196,195.6,195.6,4.432756,868.6450429,195.9604912
1382641200,195.7,195.7,194.67,194.67,103.454,20154.03599,194.8115684
1382641260,194.67,194.67,194.67,194.67,0.91303099,177.7397428,194.67
1382641320,195.22,195.37,195.22,195.37,1,195.3375892,195.3375892
1382641380,194.97,194.97,194.67,194.67,3.00648836,585.291299,194.6760569
1382641440,194.67,194.67,194.67,194.67,15.83646034,3082.883734,194.67
1382641500,194.7,196,194.68,196,82.42048551,16128.61232,195.6869366
1382641560,194.67,194.67,194.64,194.64,1.22475199,238.4074699,194.6577526
1382641620,194.63,194.63,194.63,194.63,1,194.63,194.63
1382641680,194.62,194.62,194.58,194.58,0.85471922,166.3324678,194.6048058
1382641740,194.63,194.63,194.52,194.52,1.53308491,298.2900355,194.5685027
1382641800,194.52,194.52,194.5,194.5,1.11806003,217.4728556,194.5091048
1382641860,194.5,194.5,194.49,194.49,0.69092597,134.3801012,194.4927633
1382641920,194.5,194.51,194.42,194.42,7.98797944,1553.640834,194.4973502
1382641980,194.3,194.46,194.3,194.46,2.47732103,481.4234761,194.332293
1382642040,194.51,194.51,194.46,194.46,3.46512927,673.8299992,194.4602775
1382642100,194.3,194.3,194.24,194.24,0.26460728,51.39993563,194.2498922
1382642160,194.24,194.4,194.2,194.4,27.47995848,5337.408466,194.2291314
